наименование нормативных правовых актов (НПА),пункт подпункт часть статья
"ФНП в области промышленной безопасности ""Общие правила взрывобезопасности для взрывопожароопасных химических нефтехимических и нефтеперерабатывающих производств"". Утверждена Приказом Федеральной службы по экологическому технологическому и атомному надзору 12.12.12 №96 зарег. в Минюсте России 12.12.12 № 9696",п.2.5
"ФНП в области промышленной безопасности ""Общие правила взрывобезопасности для взрывопожароопасных химических нефтехимических и нефтеперерабатывающих производств"". Утверждена Приказом Федеральной службы по экологическому технологическому и атомному надзору 12.12.12 №96 зарег. в Минюсте России 12.12.12 № 9696",п.5.1. пп.5.1.2
"ФНП в области промышленной безопасности ""Общие правила взрывобезопасности для взрывопожароопасных химических нефтехимических и нефтеперерабатывающих производств"". Утверждена Приказом Федеральной службы по экологическому технологическому и атомному надзору 12.12.12 №96 зарег. в Минюсте России 12.12.12 № 9696",п.5.1. пп.5.1.12
"ФНП в области промышленной безопасности ""Общие правила взрывобезопасности для взрывопожароопасных химических нефтехимических и нефтеперерабатывающих производств"". Утверждена Приказом Федеральной службы по экологическому технологическому и атомному надзору 12.12.12 №96 зарег. в Минюсте России 12.12.12 № 9696",п.5.2. пп.5.2.2
"ФНП в области промышленной безопасности ""Общие правила взрывобезопасности для взрывопожароопасных химических нефтехимических и нефтеперерабатывающих производств"". Утверждена Приказом Федеральной службы по экологическому технологическому и атомному надзору 12.12.12 №96 зарег. в Минюсте России 12.12.12 № 9696",п.5.3. пп.5.3.2
"ФНП в области промышленной безопасности ""Общие правила взрывобезопасности для взрывопожароопасных химических нефтехимических и нефтеперерабатывающих производств"". Утверждена Приказом Федеральной службы по экологическому технологическому и атомному надзору 12.12.12 №96 зарег. в Минюсте России 12.12.12 № 9696",п.6.6. пп.6.6.2
"ФНП в области промышленной безопасности ""Правила промышленной безопасности опасных производственных объектов на которых использцуется оборудование работающее под избыточным давлением"". Утверждена Приказом Федеральной службы по экологическому технологическому и атомному надзору 12.12.12 №96 зарег. в Минюсте России 12.12.12 № 9696",п.10
"ФНП в области промышленной безопасности ""Правила промышленной безопасности опасных производственных объектов на которых использцуется оборудование работающее под избыточным давлением"". Утверждена Приказом Федеральной службы по экологическому технологическому и атомному надзору 12.12.12 №96 зарег. в Минюсте России 12.12.12 № 9696",п.12
"ФНП в области промышленной безопасности ""Правила промышленной безопасности опасных производственных объектов на которых использцуется оборудование работающее под избыточным давлением"". Утверждена Приказом Федеральной службы по экологическому технологическому и атомному надзору 12.12.12 №96 зарег. в Минюсте России 12.12.12 № 9696",п.186
"ФНП в области промышленной безопасности ""Правила промышленной безопасности опасных производственных объектов на которых использцуется оборудование работающее под избыточным давлением"". Утверждена Приказом Федеральной службы по экологическому технологическому и атомному надзору 12.12.12 №96 зарег. в Минюсте России 12.12.12 № 9696",п.212
"ФНП в области промышленной безопасности ""Правила промышленной безопасности опасных производственных объектов на которых использцуется оборудование работающее под избыточным давлением"". Утверждена Приказом Федеральной службы по экологическому технологическому и атомному надзору 12.12.12 №96 зарег. в Минюсте России 12.12.12 № 9696",п.302
"ФНП в области промышленной безопасности ""Правила промышленной безопасности опасных производственных объектов на которых использцуется оборудование работающее под избыточным давлением"". Утверждена Приказом Федеральной службы по экологическому технологическому и атомному надзору 12.12.12 №96 зарег. в Минюсте России 12.12.12 № 9696",п.304
"ФНП в области промышленной безопасности ""Правила промышленной безопасности опасных производственных объектов на которых использцуется оборудование работающее под избыточным давлением"". Утверждена Приказом Федеральной службы по экологическому технологическому и атомному надзору 12.12.12 №96 зарег. в Минюсте России 12.12.12 № 9696",п.360
"ФНП в области промышленной безопасности ""Правила промышленной безопасности опасных производственных объектов на которых использцуется оборудование работающее под избыточным давлением"". Утверждена Приказом Федеральной службы по экологическому технологическому и атомному надзору 12.12.12 №96 зарег. в Минюсте России 12.12.12 № 9696",п.411 а
"ФНП в области промышленной безопасности ""Правила промышленной безопасности опасных производственных объектов на которых использцуется оборудование работающее под избыточным давлением"". Утверждена Приказом Федеральной службы по экологическому технологическому и атомному надзору 12.12.12 №96 зарег. в Минюсте России 12.12.12 № 9696",п.414 д
"ФНП в области промышленной безопасности ""Правила промышленной безопасности опасных производственных объектов на которых использцуется оборудование работающее под избыточным давлением"". Утверждена Приказом Федеральной службы по экологическому технологическому и атомному надзору 12.12.12 №96 зарег. в Минюсте России 12.12.12 № 9696",п.415
