Наименование элемента,"Кол.во. шт. ",Размеры мм Диаметр внутренний,Размеры мм Толщина стенки,Размеры мм Длина (высота),Марка материала (ГОСТ ТУ)
обечайка корпуса,1,600,63,18000,24CrMo10
верхний разъем фланец резьбовой,1,1090,-,215,24CrMo10
верхний разъем крышка,1,1040,-,295,24CrMo10
верхний разъем обтюратор,1,615,75,,Н10
верхний разъем шпилька,12,84х1.4'',-,605,Н10
верхний разъем гайка,12,84х1.4'',-,-,ХМ
верхний разъем шайба,12,13,-,18,-
нижний разъем фланец резьбовой,1,1090,-,215,24CrMo10
нижний разъем крышка,1,1040,-,295,24CrMo10
нижний разъем обтюратор,1,615,75,,Н10
нижний разъем шпилька,12,84х1.4'',-,605,Н10
нижний разъем гайка,12,84х1.4'',-,-,ХМ
нижний разъем шайба,12,13,-,18,-
