Место измерения,Материал,"Твердость, НВ min-max"
корпус основной металл,22Х3М,206-219
крышка верхняя основной металл,22Х3М,215-227
крышка верхний основной металл,22Х3М,220-229
крышка нижняя основной металл,22Х3М,212-229
фланец верхний основной металл,22Х3М,210-229
шпильки верхнего разъема шпилька 1,25Х1МФ,235-260
шпильки верхнего разъема шпилька 2,25Х1МФ,261-273
шпильки верхнего разъема шпилька 3,25Х1МФ,250-265
шпильки верхнего разъема шпилька 4,25Х1МФ,258-266
шпильки верхнего разъема шпилька 5,25Х1МФ,253-265
шпильки верхнего разъема шпилька 6,25Х1МФ,265-281
шпильки верхнего разъема шпилька 7,25Х1МФ,257-270
шпильки верхнего разъема шпилька 8,25Х1МФ,257-271
шпильки верхнего разъема шпилька 9,25Х1МФ,257-272
шпильки верхнего разъема шпилька 10,25Х1МФ,257-273
шпильки верхнего разъема шпилька 11,25Х1МФ,257-274
шпильки верхнего разъема шпилька 12,25Х1МФ,257-275
гайки верхнего разъема гайки 1,30ХМ,198-215
гайки верхнего разъема гайки 2,30ХМ,201-214
гайки верхнего разъема гайки 3,30ХМ,206-217
гайки верхнего разъема гайки 4,30ХМ,195-203
гайки верхнего разъема гайки 5,30ХМ,212-226
гайки верхнего разъема гайки 6,30ХМ,220-227
гайки верхнего разъема гайки 7,ХГ,217-222
гайки верхнего разъема гайки 8,30ХМ,225-230
гайки верхнего разъема гайки 9,ХГ,224-238
гайки верхнего разъема гайки 10,30ХМ,216-221
гайки верхнего разъема гайки 11,ХГ,223-224
гайки верхнего разъема гайки 12,30ХМ,225-231
шпильки нижнего разъема шпилька 1,25Х1МФ,235-260
шпильки нижнего разъема шпилька 2,25Х1МФ,261-273
шпильки нижнего разъема шпилька 3,25Х1МФ,250-265
шпильки нижнего разъема шпилька 4,25Х1МФ,258-266
шпильки нижнего разъема шпилька 5,25Х1МФ,253-265
шпильки нижнего разъема шпилька 6,25Х1МФ,265-281
шпильки нижнего разъема шпилька 7,25Х1МФ,257-270
шпильки нижнего разъема шпилька 8,25Х1МФ,257-271
шпильки нижнего разъема шпилька 9,25Х1МФ,257-272
шпильки нижнего разъема шпилька 10,25Х1МФ,257-273
шпильки нижнего разъема шпилька 11,25Х1МФ,257-274
шпильки нижнего разъема шпилька 12,25Х1МФ,257-275
гайки нижнего разъема гайки 1,30ХМ,198-215
гайки нижнего разъема гайки 2,30ХМ,201-214
гайки нижнего разъема гайки 3,30ХМ,206-217
гайки нижнего разъема гайки 4,30ХМ,195-203
гайки нижнего разъема гайки 5,30ХМ,212-226
гайки нижнего разъема гайки 6,30ХМ,220-227
гайки нижнего разъема гайки 7,ХГ,217-222
гайки нижнего разъема гайки 8,30ХМ,225-230
гайки нижнего разъема гайки 9,ХГ,224-238
гайки нижнего разъема гайки 10,30ХМ,216-221
гайки нижнего разъема гайки 11,ХГ,223-224
гайки нижнего разъема гайки 12,30ХМ,225-231
