"наименование характеристики, единица измерения",значение
местонахождение (адрес) ОПО,"г. Ух, квартал ТСП-1, квартал ТСП-2"
класс опасности ОПО,I
наименование объекта экспертизы,теплообменник (корпус)
регистрационный номер,33
заводской номер,108/34
завод изготовитель,Германия (особые поставки)
год изготовления,1942
год ввода в эксплуатацию,1962
назначение,для нагрева газосырьевой смеси отходящей газопродуктовой смесью
тип оборудования,теплообменное
конструктивный тип,вертикальный кованный с трубным пучком
место установки,на открытой площадке
теплоизоляция,не типлоизолирован
"объем, м3",5
рабочая среда блок 131,газосырьевая смесь 1
рабочая среда блок 140,газосырьевая смесь 2
рабочая среда блок 150,газосырьевая смесь 3
"рабочее давление (регламетное), МПа",32
"разрешенное давление, МПа",32
"расчетное давление, МПа",32
"пробное давление гидроиспытания, МПа",48
"температура рабочей среды мтр. Пр-ва, С",300
"температура стенки корпуса, С",270
"расчетная температура стенки, С",300
группа аппарата (по ПБ 03-584-03),1
основной конструкционный материал,"немецкие стали 24CrMo10 (аналог сталь 22Х3М); H10 (аналог сталь 20Х3МВФ); крепеж: аналог сталь 25Х1МФ, 30ХМ, сталь типа ХГ"
"диаметр внутренний, мм",600
"высота, мм",20280
