"№, п.п.",наименование,рег.№
1,Маслоотделитель продувочных газов,396
2,Емкость продувочная,397
3,Буферная емкость,398
4,Холодильник I ступени,399
5,Маслоотделитель I ступени,400
6,Буферная емкость II ступени,401
7,Холодильник II ступени,402
8,Маслоотделитель II ступени,403
9,Холодильник уравнительной ступени,404
10,Буферный баллон III ступени,405
11,Холодильник III ступени,406
12,Маслоотделитель III ступени,407
13,Буферный баллон IV ступени,408
14,Холодильник IV ступени,409
15,Маслоотделитель IV ступени,410
16,Холодильник масла,411
