Наименование определяемой величины и ее единицы,Расчетная формула или обозначение,Числовое значение
"Остаточный ресурс, лет",Тк,20
"Фактическая толщина стенки обечайки с учетом минусового допуска, мм",Sф,7?3
"Минимально допустимая толщина стенки элмента, мм",So,4
"исполнительная толщина стенки обечайки, мм",Sи,8
"Время эксплуатации, лет",t1,27
"Расчетный срок службы, лет",Тир,10
"Коэффициент, учитывающий отличие средней ожидаемой скорости коррозии от гарантированной скорости коррозии с доверительной вероятностью 0,75-0,9",К1,"0,5"
"Коэффициент, учтитывающий погрешность определения скорости коррозии по линейному закону, от скорости коррозии, расчитанной по более точным (нелинейным) законам изменения контролируемого параметра",К2,"0,75"
"Скорость коррозии, мм/год",а,"0,1"
Параметры,m1,17
Параметры,m2,33
