1,Карта исходных данных,на,9,листах
2,Программа работ по продлению срока безопасной эксплуатации (технического диагностирования),на,3,листах
3,Акт готовности резервуара к проведению технического диагностирования,на,1,листе
4,Протокол проведения визуального и измерительного контроля основного металла 1849-1-ВИК,на,1,листе
5,Протокол проведения визуального и измерительного контроля сварных швов и околошовных зон 1849-2-ВИК,на,1,листе
6,"Протокол проведения визуального и измерительного контроля состояния отмостки, металлоконструкций, средств защиты, оборудования для безопасной эксплуатации 1849-3-ВИК",на,1,листе
7,Протокол проведения толщинометрии 1849-УЗТ,"на ",1,листе
8,Протокол проведения дефектоскопии 10-ПВК,"на ",1,листе
9,Протокол измерения твердости 10-ТВ,"на ",1,листе
10,Акт гидравлического испытания резервуара,"на ",1,листе
11,Расчет на прочность,на,3,листах
12,Расчет остаточного ресурса,на,2,листах
13,"Перечень нормативной, технической и методической документации, использованной при экспертизе","на ",1,листе
14,Копия лицензии,"на ",1,листе
15,Копия приказа,на,2,листах
16,Копии удостоверений экспертов и специалистов,"на ",1,листе
