Обозначение по чертежу,Наименование,"Кол., шт.","Условный переход, мм","Условное давление, МПа",Место установки,Материал Марка,Материал Гост или ТУ
А Б,приемо-раздаточные,2,80; 100,"1,6",стенка,Сталь 20,ГОСТ 1050
В,люк-лаз,1,500,"1,6",стенка,Ст3,ГОСТ 380
Г,запасной,1,200,"1,6",стенка,Сталь 20,ГОСТ 1050
Д,технологический,1,20,"1,6",стенка,Сталь 20,ГОСТ 1050
Е,технологический,1,50,"1,6",стенка,Сталь 20,ГОСТ 1050
Ж,технологический,1,250,"1,6",стенка,Сталь 20,ГОСТ 1050
А1 Б1,люк световой,2,500,"1,6",крыша,Ст3,ГОСТ 380
Г1,люк замерный,1,150,"1,6",крыша,Сталь 20,ГОСТ 1050
В1,вентиляционный патрубок,1,150,"1,6",крыша,Сталь 20,ГОСТ 1050
Д1,технологический,1,150,"1,6",крыша,Сталь 20,ГОСТ 1050
