наименование элемента,кол. шт.,"размеры, мм диаметр внутренний","размеры, мм толщина стенки","размеры, мм длина (высота)",материал марка,материал ГОСТ или ТУ
обечайка корпуса,1,1600,24,4900,16ГС,5520-69
днище корпуса,1,1600,24,450,16ГС,5520-69
обечайка корпуса концевая,1,1600,32,400,16ГС,5520-69
обечайка коническая,1,1600/900,32,1212,16ГС,5520-69
обечайка распредкамеры,1,900,20,362,16ГС,5520-69
фланец Б900-4,1,-,-,-,Сталь 20,1050
днище распредкамеры,1,900,10,250,16ГС,5520-69
обечайка горловины,1,900,32,200,16ГС,5520-69
фланец Б900-4,1,-,-,-,Сталь 20,1050
"пучок трубный труба 25х2,5",202,25,"2,5",13349,Сталь 10,1050-60
пучок трубный решетка трубная,1,1002,90,-,16ГС,5520-69
