N,место установки,номер,"тип ",ном.пружины,испытание пружины,установочное давление МПа,проверка герметичности затвора клапана,испытание на плотность разъемных соединений клапана МПа,испытание на прочность корпуса клапана МПа,характеристика ремонта,примечание
1,К-1,650,100-64,145,пружина в норме,50,47,90,90,полный ремонт,Е-6
2,К-1,2927,100-64,145,пружина в норме,50,47,90,90,полный ремонт,Е-6
3,К-1,2561,100-64,145,пружина в норме,48,47,90,90,полный ремонт,Е-6
4,К-1,666,100-64,145,пружина в норме,48,47,90,90,полный ремонт,Е-6
5,К-2,560,100-64,145,пружина в норме,50,47,90,90,полный ремонт,Е-6
6,К-2,561,100-64,145,пружина в норме,50,47,90,90,полный ремонт,Е-6
7,К-2,2566,100-64,145,пружина в норме,48,47,90,90,полный ремонт,Е-6
8,К-2,564,100-64,145,пружина в норме,48,47,90,90,полный ремонт,Е-6
9,К-3,565,50-16,104,пружина в норме,"5,5","2,5",24,24,полный ремонт,Е-6
10,К-3,566,50-16,106,пружина в норме,11,8,24,24,полный ремонт,Е-6
11,К-3,567,50-16,106,пружина в норме,9,8,24,24,полный ремонт,Е-6
12,К-5,5506,50-16,104,пружина в норме,"5,5","2,5",24,24,полный ремонт,Е-6
13,К-5,7960,50-16,106,пружина в норме,11,8,24,24,полный ремонт,Е-6
14,К-5,150,50-16,106,пружина в норме,9,8,24,24,полный ремонт,Е-6
15,К-6,1589,50-40,108,пружина в норме,27,18,60,60,полный ремонт,Е-6
16,К-6,9151,50-40,108,пружина в норме,25,18,60,60,полный ремонт,Е-6
17,К-7,3264,50-40,108,пружина в норме,32,18,60,60,полный ремонт,Е-6
18,К-7,2416,50-40,108,пружина в норме,30,18,60,60,полный ремонт,Е-6
19,К-8,1912,50-16,104,пружина в норме,"5,5",18,24,24,полный ремонт,Е-6
20,К-9,9999,50-16,103,пружина в норме,"2,5","2,5",24,24,полный ремонт,Е-6
21,Э-1,3009,50-40,77,пружина в норме,33,2,60,60,полный ремонт,Е-6
22,Э-1,736,50-40,302,пружина в норме,31,30,60,60,полный ремонт,Е-6
23,Э-1А,349,50-40,302,пружина в норме,33,30,60,60,полный ремонт,Е-6
24,Э-1А,6064,50-40,302,пружина в норме,31,30,60,60,полный ремонт,Е-6
25,Э-2,6869,50-40,302,пружина в норме,33,30,60,60,полный ремонт,Е-6
26,Э-2,1339,50-40,302,пружина в норме,31,30,60,60,полный ремонт,Е-6
27,Э-2А,1839,50-40,77,пружина в норме,33,30,60,60,полный ремонт,Е-6
28,Э-2А,1840,50-40,302,пружина в норме,31,30,60,60,полный ремонт,Е-6
29,Э-3,5703,50-40,108,пружина в норме,33,30,60,60,полный ремонт,Е-6
30,Э-3,2290,50-40,108,пружина в норме,31,30,60,60,полный ремонт,Е-6
