N,наименование,точки измерений А,точки измерений B,точки измерений C,точки измерений D,точки измерений E
1,днище распредкамеры,12,12,12,12,12
2,обечака распредкамеры,"12,4",12,12,12,-
3,обечака распредкамеры,"20,2",20,20,20,-
4,обечайка горловины,"25,6",26,26,26,-
5,обечайка горловины,32,32,32,32,-
6,обечайка коническая,33,33,33,33,-
7,обечайка коническая,33,33,33,33,-
8,обечайка коническая,32,33,33,33,-
9,обечайка корпуса концевая,25,33,25,25,-
10,обечайка корпуса концевая,24,25,25,25,-
11,обечайка корпуса,26,25,26,25,-
12,обечайка корпуса,26,26,26,26,-
13,обечайка корпуса,26,26,26,26,-
14,обечайка корпуса,25,26,25,26,-
15,обечайка корпуса,24,25,25,25,-
16,обечайка корпуса,24,25,25,25,-
17,обечайка корпуса,24,25,25,25,-
18,обечайка корпуса,24,25,25,25,-
19,обечайка корпуса,23,25,25,26,-
20,обечайка корпуса,24,25,26,25,-
21,обечайка корпуса,25,24,25,26,-
22,днище корпуса,25,23,25,25,24
П1,патурбок Dy150,15,15,15,15,-
П2,патурбок Dy150 сечение 1,30,30,30,30,-
П3,патурбок Dy150 сечение 1,31,32,32,32,-
П4,патурбок Dy50,4,5,4,4,-
П5,патурбок Dy50,11,11,11,11,-
П6,патурбок Dy100,6,6,6,6,-
