Наименование элемента,"Кол., шт.",Размеры Диаметр внутренний или наружний,Размеры Толщина стенки,Размеры Длина (высота),Материал Марка,Материал Гост или ТУ
Обечайка корпуса,1,2600,26,6400,ВСт3,380
Обечайка штуцера №1 ввода трубного пучка,1,700,36,600,09Г2С,5520
Обечайка штуцера №2 ввода трубного пучка,1,700,36,600,09Г2С,5520
Обечайка штуцера №3 ввода трубного пучка,1,700,36,600,09Г2С,5520
Обечайка распределительной камеры №1,1,700,10,400,09Г2С,5520
Обечайка распределительной камеры №2,1,700,10,400,09Г2С,5520
Обечайка распределительной камеры №3,1,700,10,400,09Г2С,5520
Днище корпуса,2,2600,26,730,09Г2С,5520
Днище распределительной камеры №1,1,700,10,200,09Г2С,5520
Днище распределительной камеры №2,1,700,10,200,09Г2С,5520
Днище распределительной камеры №3,1,700,10,200,09Г2С,5520
