Обозначение по чертежу,Наименование,"Кол., шт.","Условный переход, мм","Условное давление, МПа",Материал Марка,Материал Гост или ТУ
Б,"Выход остатка продукта патрубок 159х4,5-180",1,150,25,Сталь 20,1050-88
В,Выход паров продукта патрубок 273х8-200,1,250,25,Сталь 20,1050-88
Г 1-3,"Взод теплоносителя патрубок 159х4,5-190",3,150,25,Сталь 20,1050-88
Д 1-3,"Взод теплоносителя патрубок 159х4,5-190",3,150,25,Сталь 20,1050-88
Е,Дренаж патрубок 57х4-110,1,50,25,Сталь 20,1050-88
Ж,Люк-лаз патрубок 480х10-200,1,450,25,09Г2С,5520-79
3 1-2,Бобышка регулятора уровня,2,40,-,Сталь 20,1050-88
И,Для магнометра,1,15,-,Сталь 20,1050-88
К 1-3,Люк монтажный патрубок 219х6-258,3,200,25,Сталь 20,1050-88
Л 1-2,К указателю уровня,2,20,-,Сталь 20,1050-88
Поз.9,"Штуцер ввода трубн.пучка патрубок (1,2,3)700х36-335",3,700,25,09Г2С,5520-79
