Конструктивный элемент,"Внутренний диаметр, D, мм (нар.)","Длина h, мм","Исполнительная толщина стенки, Sи, мм",Марка материала
Обечайка корпуса межтурбного пространства,"2600,0",6400,"26,0",ВСт3
Обечайка штуцера №1 ввода трубного пучка межтрубного пространства,"700,0",600,"36,0",09Г2С
Обечайка штуцера №2 ввода трубного пучка межтрубного пространства,"700,0",600,"36,0",09Г2С
Обечайка штуцера №3 ввода трубного пучка межтрубного пространства,"700,0",600,"36,0",09Г2С
Обечайка распределительной камеры №1 трубного пространства,"700,0",400,"10,0",09Г2С
Обечайка распределительной камеры №2 трубного пространства,"700,0",400,"10,0",09Г2С
Обечайка распределительной камеры №3 трубного пространства,"700,0",400,"10,0",09Г2С
Днище корпуса межтрубного пространства,"2600,0",730,"26,0",09Г2С
Днище распределительной камеры №1 межтрубного пространства,"700,0",200,"10,0",09Г2С
Днище распределительной камеры №2 межтрубного пространства,"700,0",200,"10,0",09Г2С
Днище распределительной камеры №3 межтрубного пространства,"700,0",200,"10,0",09Г2С
