Конструктивный элемент,"Минимальная толщина стенки по толщинометрии Smin, мм","Погрешность измерения, мм","Фактическая толщина стенки Sф, мм"
Обечайка корпуса межтурбного пространства,"23,7","+-0,1","23,6"
Обечайка штуцера №1 ввода трубного пучка межтрубного пространства,"31,7","+-0,1","31,6"
Обечайка штуцера №2 ввода трубного пучка межтрубного пространства,"31,7","+-0,1","31,6"
Обечайка штуцера №3 ввода трубного пучка межтрубного пространства,"31,7","+-0,1","31,6"
Обечайка распределительной камеры №1 трубного пространства,"10,0","+-0,1","9,9"
Обечайка распределительной камеры №2 трубного пространства,"10,0","+-0,1","9,9"
Обечайка распределительной камеры №3 трубного пространства,"10,0","+-0,1","9,9"
Днище корпуса межтрубного пространства,"25,0","+-0,1","24,9"
Днище распределительной камеры №1 межтрубного пространства,"11,3","+-0,1","11,2"
Днище распределительной камеры №2 межтрубного пространства,"11,3","+-0,1","11,2"
Днище распределительной камеры №3 межтрубного пространства,"11,3","+-0,1","11,2"
