Элемент,"Rp0,2, МПа","[G]пр, МПа","Sф, мм","Pпр, мм","[P]пр, МПа"
Обечайка корпуса межтурбного пространства,"231,0","210,0","23,6","1,69","3,26"
Обечайка штуцера №1 ввода трубного пучка межтрубного пространства,"280,0","254,55","31,6","1,69","19,9"
Обечайка штуцера №2 ввода трубного пучка межтрубного пространства,"280,0","254,55","31,6","1,69","19,9"
Обечайка штуцера №3 ввода трубного пучка межтрубного пространства,"280,0","254,55","31,6","1,69","19,9"
Обечайка распределительной камеры №1 трубного пространства,"280,0","254,55","9,9","1,73","5,75"
Обечайка распределительной камеры №2 трубного пространства,"280,0","254,55","9,9","1,73","5,75"
Обечайка распределительной камеры №3 трубного пространства,"280,0","254,55","9,9","1,73","5,75"
Днище корпуса межтурбного пространства,"280,0","254,55","24,9","1,69","4,19"
Днище распределительной камеры №1 трубного пространства,"280,0","254,55","11,2","1,73","6,63"
Днище распределительной камеры №2 трубного пространства,"280,0","254,55","11,2","1,73","6,63"
Днище распределительной камеры №3 трубного пространства,"280,0","254,55","11,2","1,73","6,63"
