Конструктивный элемент,"Толщина стенки, мм Исполнительная, Sи, мм","Толщина стенки, мм Фактическая минимальная (с учетом погрешности измерения), Sф, мм","Толщина стенки, мм Расчетная, Sр, мм","Толщина стенки, мм Допускаемая, Sотб, мм"
Обечайка корпуса межтурбного пространства,"26,0",23.6,"12,75","12,75"
Обечайка штуцера №1 ввода трубного пучка межтрубного пространства,"36,0","31,6","3,3","4,0"
Обечайка штуцера №2 ввода трубного пучка межтрубного пространства,"36,0","31,6","3,3","4,0"
Обечайка штуцера №3 ввода трубного пучка межтрубного пространства,"36,0","31,6","3,3","4,0"
Обечайка распределительной камеры №1 трубного пространства,"10,0","9,9","3,3","4,0"
Обечайка распределительной камеры №2 трубного пространства,"10,0","9,9","3,3","4,0"
Обечайка распределительной камеры №3 трубного пространства,"10,0","9,9","3,3","4,0"
Днище корпуса межтурбного пространства,"26,0","24,9","12,2","12,2"
Днище распределительной камеры №1 трубного пространства,"10,0","11,2","3,3","4,0"
Днище распределительной камеры №2 трубного пространства,"10,0","11,2","3,3","4,0"
Днище распределительной камеры №3 трубного пространства,"10,0","11,2","3,3","4,0"
Штуцера Dy200,-,5.9,"1,06","3,0"
Штуцера Dy150,-,"6,7","0,8","3,0"
Штуцера Dy150,-,"6,0","0,82","3,0"
