Конструктивный элемент,"Sи, мм","Sр, мм","Sотб, мм","Sф, мм","t1, лет","Tнр, лет","а, мм/год",m1,m2,"Tк, лет"
Обечайка корпуса межтурбного пространства,"26,0","12,75","12,75","23,6",14,20,"0,24",0,"43,8","28,3"
Обечайка штуцера №1 ввода трубного пучка межтрубного пространства,"36,0","3,3","4,0","31,6",14,20,"0,43",0,"63,0","33,6"
Обечайка штуцера №2 ввода трубного пучка межтрубного пространства,"36,0","3,3","4,0","31,6",14,20,"0,43",0,"63,0","33,6"
Обечайка штуцера №3 ввода трубного пучка межтрубного пространства,"36,0","3,3","4,0","31,6",14,20,"0,43",0,"63,0","33,6"
Обечайка распределительной камеры №1 трубного пространства,"10,0","3,3","4,0","9,9",14,20,"0,1",0,"59,0","32,7"
Обечайка распределительной камеры №2 трубного пространства,"10,0","3,3","4,0","9,9",14,20,"0,1",0,"59,0","32,7"
Обечайка распределительной камеры №3 трубного пространства,"10,0","3,3","4,0","9,9",14,20,"0,1",0,"59,0","32,7"
Днище корпуса межтурбного пространства,"26,0","12,2","12,2","24,9",14,20,"0,12",0,"102,6","37,0"
Днище распределительной камеры №1 трубного пространства,"10,0","3,3","4,0","11,2",14,20,"0,1",0,"72,0","35,0"
Днище распределительной камеры №2 трубного пространства,"10,0","3,3","4,0","11,2",14,20,"0,1",0,"72,0","35,0"
Днище распределительной камеры №3 трубного пространства,"10,0","3,3","4,0","11,2",14,20,"0,1",0,"72,0","35,0"
