Наименование элемента,"Sи, мм","Sф, мм","Sотб, мм"
Обечайка корпуса,26,"23,7","12,75"
Обечайка штуцера №1 ввода трубного пучка,36,"31,7","4,0"
Обечайка штуцера №2 ввода трубного пучка,36,н/д,"4,0"
Обечайка штуцера №3 ввода трубного пучка,36,н/д,"4,0"
Обечайка распределительной камеры №1,10,"10,2","4,0"
Обечайка распределительной камеры №2,10,"10,0","4,0"
Обечайка распределительной камеры №3,10,"10,5","4,0"
Днище корпуса,26,"25,0","12,2"
Днище распределительной камеры №1,10,"11,4","4,0"
Днище распределительной камеры №2,10,"11,3","4,0"
Днище распределительной камеры №3,10,"11,4","4,0"
