Rank,University,Total,SCI Total,PHY,CHE,P/M,ECO,LI,PE
1,Harvard University,US,161,113,32,38,43,33,7
2,University of Cambridge,UK,121,98,37,30,31,15,5
3,"University of California, Berkeley",US,110,82,34,31,17,25,3
4,University of Chicago,US,100,62,32,19,11,33,3
5,Massachusetts Institute of Technology,US,97,62,34,16,12,34,0
6,Columbia University,US,96,69,32,15,22,15,6
7,Stanford University,US,84,54,25,13,16,27,3
8,California Institute of Technology,US,76,70,31,17,22,6,0
9,University of Oxford,UK,72,53,15,19,19,9,5
10,Princeton University,US,69,42,29,9,4,21,5
11,Yale University,US,65,34,8,12,14,23,5
12,Cornell University,US,61,50,23,12,15,5,4
13,Humboldt University of Berlin,DE,57,49,14,23,12,1,4
14,University of Paris,FRA,51,34,15,10,10,4,6
15,University of Göttingen,DE,44,42,18,16,8,0,1
16,University of Munich,DE,43,42,14,19,9,0,1
17,Johns Hopkins University,US,39,30,4,8,18,5,1
17,University of Copenhagen,DNK,39,34,19,7,8,3,2
19,New York University,US,38,20,3,5,12,14,2
19,Rockefeller University,US,38,38,1,11,26,0,0
21,University of Pennsylvania,US,36,25,4,10,11,11,0
22,University College London,UK,34,31,5,7,19,2,1
23,ETH Zurich,CHE,32,32,11,17,4,0,0
24,University of Illinois at Urbana–Champaign,US,30,27,11,5,11,3,0
24,University of Minnesota,US,30,15,7,4,4,12,2
26,"University of California, San Diego",US,27,24,5,9,10,3,0
26,University of Heidelberg,DE,27,24,11,8,5,0,1
28,University of Michigan,US,26,18,9,3,6,6,2
28,University of Wisconsin–Madison,US,26,23,6,7,10,2,1
30,"University of California, Los Angeles",US,25,13,2,8,3,9,1
30,University of Manchester,UK,25,22,11,9,2,3,0
30,Washington University in St. Louis,US,25,24,1,5,18,1,0
