University,Location,Established,Number of students,Tuition fee,Degree powers
AECC University College,Bournemouth,– (1965),-,"£9,250",Taught
Anglia Ruskin University,"Cambridge , Chelmsford , Peterborough",1992 (1858),,"£9,250",Full
Arden University,Coventry (distance learning),2015 (1990),8000,- (private),Taught
Arts University Bournemouth,Poole,2012 (1885),,"£9,250",Taught
University of the Arts London,London,2004,,"£9,250",Full
Aston University,Birmingham,1966 (1895),,"£9,250",Full
University of Bath,Bath,1966,,"£9,250",Full
Bath Spa University,Bath,2005 (1852),,"£9,250",Full
University of Bedfordshire,"Bedford , Luton , Milton Keynes",1993,,"£9,250",Full
University of Birmingham,Birmingham,1900,,"£9,250",Full
University College Birmingham,Birmingham,2012 (1957),,"£9,076",Taught
Birmingham City University,Birmingham,1992 (1843),,"£9,250",Full
Bishop Grosseteste University,Lincoln,2012 (1862),,"£9,250",Taught
University of Bolton,Bolton,2005 (1982),,"£9,250",Full
Bournemouth University,"Bournemouth , Poole",1992,,"£9,250",Full
BPP University,"Abingdon , Birmingham , Bristol , Cambridge , Leeds , Liverpool , London, Manchester",2013 (1992),6780,- (private),Taught
University of Bradford,Bradford,1966 (1957),,"£9,250",Full
University of Brighton,"Brighton , Eastbourne , Hastings",1992 (1859),,"£9,250",Full
University of Bristol,Bristol,1909 (1876),,"£9,250",Full
Brunel University London,Uxbridge (London),1966,,"£9,250",Full
University of Buckingham,Buckingham,1983 (1973),,"£12,444 (private)",Full
Buckinghamshire New University,"High Wycombe , Uxbridge (London)",2007 (1999),,"£7,8-9,250",Taught
University of Cambridge,Cambridge,1209,,"£9,250",Full
Canterbury Christ Church University,"Broadstairs , Canterbury , Medway , Tunbridge Wells",2005 (1977),,"£9,250",Full
University of Central Lancashire,Preston,1992 (1828),,"£9,250",Full
University of Chester,"Chester , Warrington",2005 (1839),,"£9,250",Full
University of Chichester,Chichester,2005 (1977),,"£6,000–9,250",Full
Coventry University,Coventry,1992 (1843),,"£6,009–9,250",Full
Cranfield University,"Cranfield , Shrivenham",1993 (1946),,p/g only,Full
University for the Creative Arts,"Canterbury , Epsom , Farnham , Maidstone , Rochester",2005,,"£9,250",Taught
University of Cumbria,"Ambleside , Barrow , Carlisle , Lancaster , Penrith , Tower Hamlets (London)",2007,,"£9,250",Taught
De Montfort University,Leicester,1992 (1969),,"£9,250",Full
University of Derby,Derby,1992 (1977),,"£9,250",Full
Durham University,"Durham , Stockton",1832,,"£9,250",Full
University of East Anglia,Norwich,1963,,"£9,250",Full
University of East London,Newham (London),1992 (1970),,"£9,250",Full
Edge Hill University,Ormskirk,2006 (1959),,"£9,250",Full
University of Essex,Colchester,1964,,"£9,250",Full
University College of Estate Management,Reading,– (1919),–,- (private),Taught
University of Exeter,"Exeter , Penryn",1955 (1922),,"£9,250",Full
Falmouth University,"Falmouth , Penryn",2012 (1902),,"£9,250",Taught
University of Gloucestershire,"Cheltenham , Gloucester",2001 (1998),,"£9,250",Full
University of Greenwich,"Chatham , Greenwich (London)",1992 (1890),,"£9,250",Full
Harper Adams University,Edgmond,2012 (1901),,"£9,250",Full
Hartpury University,Gloucester,2018 (1947),,,Taught
University of Hertfordshire,Hatfield,1992 (1952),,"£9,250",Full
University of Huddersfield,Huddersfield,1992 (1825),,"£9,250",Full
University of Hull,"Hull , Scarborough",1954 (1927),,"£9,250",Full
Imperial College London,South Kensington (London),2007 (1907),,"£9,250",Full
Keele University,Keele,1962 (1949),,"£9,250",Full
University of Kent,"Canterbury , Medway , Tonbridge , Athens , Brussels , Paris , Rome",1965,,"£9,250",Full
Kingston University,Kingston upon Thames,1992 (1899),,"£9,250",Full
Lancaster University,Lancaster,1964,,"£9,250",Full
University of Law,"Birmingham , Bristol , Chester , Guildford , Leeds , London , Nottingham",2012,16000,"£6,165-9,000",Taught
University of Leeds,Leeds,1904,,"£9,250",Full
Leeds Arts University,Leeds,2017 (1846),,,Taught
Leeds Beckett University,Leeds,1992 (1970),,"£9,250",Full
Leeds Trinity University,Leeds,2012 (1966),,"£9,250",Taught
University of Leicester,Leicester,1957 (1921),,"£9,250",Full
University of Lincoln,Lincoln,1992,,"£9,250",Full
University of Liverpool,Liverpool,1903,,"£9,250",Full
Liverpool Hope University,Liverpool,2005 (1844),,"£9,250",Full
Liverpool John Moores University,Liverpool,1992 (1892),,"£9,250",Full
University of London,"London , Paris",1836,,- (Fees set by colleges),Full
"University of London u2192 Birkbeck, University of London",London,– (1823),,"£9,250","Full, London"
"University of London u2192 City, University of London",London,– (1894),,"£9,250","Full, London"
University of London u2192 Courtauld Institute of Art,London,– (1932),,"£9,250",London
"University of London u2192 Goldsmiths, University of London",London,– (1904),,"£9,250","Full, London"
University of London u2192 Heythrop College,London,– (1614),,No longer admitting students,"Full, London"
University of London u2192 Institute of Cancer Research,London,– (1909),,p/g only,London
