University,Endowment as of 2020 (£m),Endowment as of 2019 (£m),Endowment as of 2018 (£m),Endowment as of 2017 (£m),Endowment as of 2016 (£m),Endowment as of 2015 (£m),Endowment as of 2014 (£m),Endowment as of 2013 (£m),Endowment as of 2012 (£m),Endowment as of 2011 (£m)
University of St Andrews,£ 95.6,£ 89.9,£ 77.8,£ 69.4,£ 58.6,£ 56.8,£ 50.1,£ 49.9,£ 39.1,£ 35.7
Newcastle University,£ 87.2,£ 85.1,£ 80.6,£ 75.2,£ 63.4,£ 62.0,£ 57.6,£ 55.2,£ 41.3,£ 41.9
Durham University (excl Colleges),£ 86.4,£ 81.9,£ 74.0,£ 72.0,£ 67.6,£ 71.1,£ 67.4,£ 66.0,£ 61.8,£ 61.3
University of Leeds,£ 82.1,£ 82.3,£ 77.2,£ 72.7,£ 67.7,£ 66.7,£ 65.7,£ 62.3,£ 53.6,£ 52.2
"Royal Holloway, University of London",£ 78.8,£ 81.2,£ 80.4,£ 79.6,£ 75.3,£ 75.8,£ 73.6,"£ 73.6 http://www.rhul.ac.uk/finance/documents/pdf/royalholloway,universityoflondonfinancialstatements2013.pdf",£ 69.7,£ 70.8
University of Bristol,£ 78.7,£ 77.2,£ 72.2,£ 70.2,£ 62.6,£ 61.2,£ 55.3,£ 52.8,£ 43.1,£ 46.7
Queen's University Belfast,£ 63.8,£ 67.1,£ 67.1,£ 65.4,£ 56.6,£ 53.4,£ 52.0,£ 48.8,£ 42.4,£ 41.6
University of Nottingham,£ 62.3,£ 63.0,£ 58.5,£ 55.1,£ 49.9,£ 43.8,£ 40.2,£ 38.6,£ 32.7,£ 32.4
University of Aberdeen,£ 51.9,£ 52.0,£ 49.7,£ 46.9,£ 41.3,£ 38.0,£ 35.0,£ 33.6,£ 29.2,£ 28.8
