University,Endowment as of 2019 (£m),Endowment as of 2018 (£m),Endowment as of 2017 (£m),Endowment as of 2016 (£m),Endowment as of 2015 (£m),Endowment as of 2014 (£m),Endowment as of 2013 (£m),Endowment as of 2012 (£m),Endowment as of 2011 (£m)
University of Leicester,£ 21.0,£ 20.6,£ 17.7,£ 14.0,£ 13.1,£ 12.2,£ 11.8 http://www2.le.ac.uk/offices/finance/documents/Fin%20Statements/financial-statements-2012-13,£ 7.03,£ 6.83 http://www2.le.ac.uk/offices/finance/documents/Fin%20Statements/Financial_Statements_12.pdf
University of Reading (excluding trusts),£ 17.5 http://www.reading.ac.uk/web/files/finance/2018-19_University_Financial_Statements.pdf,£ 14.7 http://www.reading.ac.uk/web/files/finance/2018-19_University_Financial_Statements.pdf,£ 14.0,£ 14.8,£ 13.9,£ 12.6,£ 11.6,£ 9.5,£ 9.0
University of Hull,£ 15.2 https://www.hull.ac.uk/choose-hull/university-and-region/key-documents/docs/annual-report-and-statement-of-accounts-2018-19.pdf,£ 14.6 https://www.hull.ac.uk/choose-hull/university-and-region/key-documents/docs/annual-report-and-statement-of-accounts-2018-19.pdf,£ 14.4 http://www2.hull.ac.uk/Choose-Hull/University-and-region/Key-documents/docs/Accounts-for-publication-2017.pdf,£ 18.8,£ 12.7,£ 12.5,£ 12.5,£ 11.9,£ 11.7
Lancaster University,£ 13.9 https://www.lancaster.ac.uk/depts/finance/2019%20Lancaster%20University%20Annual%20Accounts.pdf,£ 6.0 https://www.lancaster.ac.uk/depts/finance/2019%20Lancaster%20University%20Annual%20Accounts.pdf,£ 5.9,£ 5.6 http://www.lancaster.ac.uk/media/lancaster-university/content-assets/documents/annual-review/2016-Lancaster-University-Annual-Accounts.pdf,£ 5.4 http://www.lancaster.ac.uk/depts/finance/2015%20Lancaster%20University%20Annual%20Accounts%202015%20web.pdf,£ 5.5 http://www.lancaster.ac.uk/depts/finance/2014%20%20Lancaster%20University%20Annual%20Accounts.pdf,£ 5.7 http://www.lancaster.ac.uk/depts/finance/LU%20-%20Accounts%20%282013%29%20FINAL.pdf,£ 5.5,£ 6.0
University of Sussex,£ 13.6 https://www.sussex.ac.uk/webteam/gateway/file.php?name=4551-financial-statements-2019-signed-web.pdf&site=262,£ 11.6 https://www.sussex.ac.uk/webteam/gateway/file.php?name=4551-financial-statements-2019-signed-web.pdf&site=262,£ 11.0,£ 10.1,£ 9.4,£ 9.1,£ 8.3,£ 7.0,£ 6.5
University of Southampton,£ 13.0 https://www.southampton.ac.uk/~assets/doc/finance/financial-statements-2018%20-19.pdf,£ 13.1 https://www.southampton.ac.uk/~assets/doc/finance/financial-statements-2018%20-19.pdf,£ 12.9,£ 12.5,£ 12.5,£ 12.1,£ 11.8,£ 10.0,£ 9.8
Ulster University,,,£ 9.0,£ 7.4,£ 7.0,£ 6.5,£ 4.8,£ 4.3,£ 4.4
Heriot-Watt University,,,£ 8.9,£ 8.3,£ 9.5,£ 8.5,,,
University of East Anglia,£ 9.0 https://portal.uea.ac.uk/documents/6207125/7082556/1819+Fin+Statements+FINAL.pdf/248cacdc-40b3-f4c1-145c-c77e075ca224,£ 8.2 https://portal.uea.ac.uk/documents/6207125/7082556/1819+Fin+Statements+FINAL.pdf/248cacdc-40b3-f4c1-145c-c77e075ca224,£ 7.7,£ 7.3,£ 7.3,£ 7.6,£ 6.2,,£ 6.3
