University,QS World (2020),THE World (2020),ARWU World (2019),CWTS Leiden (2019),#a
University of Oxford,4,1,7,11,right 4<sup>b</sup>
University of Cambridge,7,3,3,17,right 4<sup>b</sup>
Imperial College London,9,10,23,21,right 4<sup>b</sup>
University College London,8,15,15,18,right 4<sup>b</sup>
University of Edinburgh,20,30,31,52,right 4
University of Manchester,27,55=,33,55,right 4
King's College London,33,36=,51,35,right 4
London School of Economics,44,27=,151–200,43,right 3
University of Bristol,49,87,74,37,right 4
University of Warwick,62,77,101–150,64,right 3
University of Glasgow,67,99=,151–200,56,right 3
Durham University,78,133,201–300,97,right 2
University of Birmingham,81,112,101–150,93,right 2
University of Leeds,93,155=,101–150,83,right 2
University of Sheffield,78,117=,101-150,88,right 2
