Position,College,Score,Firsts (%),Change in Rank
1,Christ's,75.7,44.0,0
2,Trinity,74.1,42.5,1
3,Pembroke,72.3,36.8,-1
4,Peterhouse,71.2,34.9,0
5,Churchill,71.1,34.1,2
6,Queens',70.6,32.5,7
7,Emmanuel,70.3,33.3,2
8,Selwyn,70.1,32.1,3
9,St Catharine's,69.9,31.0,1
10,Trinity Hall,69.7,30.3,2
11,Corpus Christi,69.4,31.1,4
12,Kingu2019s,69.0,31.3,-7
13,Sidney Sussex,68.8,29.4,4
14,Jesus,68.6,29.9,-8
15,St John's,68.4,28.6,-7
16,Gonville & Caius,68.3,27.3,-2
17,Fitzwilliam,68.3,27.9,2
18,Magdalene,67.6,24.4,0
19,Murray Edwards,66.2,24.6,7
20,Girton,65.4,22.3,3
21,Robinson,65.1,22.0,3
22,Newnham,65.0,22.8,0
23,Downing,64.9,21.7,-3
24,Clare,64.8,22.1,-8
25,Hughes Hall,64.4,21.9,0
26,Homerton,63.2,18.6,1
27,Wolfson,61.2,17.4,2
28,St Edmund's,60.5,18.2,-7
29,Lucy Cavendish,60.1,16.3,-1
