College,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Mean
Christ's College,2,3,1,1,1,4,2,2,4,6,2,8,13,12,6,9,8,9,14,3,2,1,1,4.96
Churchill College,15,13,20,15,9,10,9,19,18,13,15,6,7,3,10,5,5,6,3,11,5,7,5,9.96
Clare College,11,6,15,9,6,3,6,4,9,12,17,13,18,8,4,11,11,8,15,18,13,16,24,11.17
Corpus Christi College,23,18,8,10,20,18,7,10,16,8,8,9,10,13,12,3,16,18,22,10,12,15,11,12.91
Downing College,12,11,16,8,10,8,12,17,15,11,3,12,15,15,17,20,12,11,9,12,20,20,23,13.43
Emmanuel College,7,5,5,3,2,2,1,1,5,1,1,2,2,1,2,2,4,5,4,4,6,9,7,3.52
Fitzwilliam College,13,12,19,21,13,20,20,15,13,19,14,21,21,22,21,19,20,19,20,23,21,19,17,18.35
Girton College,22,21,21,18,17,16,17,25,24,22,21,22,20,21,23,22,21,23,24,27,24,23,20,21.48
Gonville & Caius College,8,4,6,12,8,7,4,5,2,2,10,4,4,11,13,16,17,15,19,19,11,14,16,9.87
Homerton College,,,,,,,25,24,26,25,26,25,25,26,26,27,26,24,27,24,28,27,26,25.71
Hughes Hall,,,,,,,27,27,29,29,29,26,26,27,27,26,27,27,25,29,26,25,25,26.88
Jesus College,20,16,11,13,11,9,10,9,7,10,9,7,11,16,8,7,6,4,11,7,14,6,14,10.26
King's College,14,10,13,20,21,14,16,20,10,17,18,19,17,14,20,13,14,14,18,14,8,5,12,14.83
Lucy Cavendish College,,,,,,,26,26,27,26,24,28,29,29,29,29,28,29,29,26,18,28,29,27.06
Magdalene College,17,22,23,22,22,15,18,22,20,20,13,5,8,5,9,15,15,10,2,9,16,18,18,14.96
Murray Edwards College (formerly New Hall),24,24,22,16,23,24,24,23,25,24,23,23,23,23,22,24,24,26,23,25,29,26,19,23.43
Newnham College,18,20,24,24,24,22,21,13,21,23,22,24,24,25,24,23,23,22,21,21,23,22,22,22.0
Pembroke College,5,9,14,6,7,1,3,6,6,4,7,10,6,10,5,4,2,2,5,2,4,2,3,5.35
Peterhouse,19,23,17,14,19,23,22,21,22,21,25,18,16,7,18,18,10,12,6,8,10,4,4,15.52
Queens' College,3,2,3,5,5,5,5,8,8,14,11,16,12,17,14,12,7,7,7,6,7,13,6,8.39
Robinson College,21,19,9,19,14,21,23,16,11,18,20,17,19,19,19,21,22,20,16,22,25,24,21,18.96
Selwyn College,16,15,7,7,12,13,14,11,19,7,4,1,3,6,7,6,18,13,12,15,9,11,8,10.17
Sidney Sussex College,4,17,4,23,16,19,15,18,14,9,12,14,22,18,16,17,19,17,17,16,17,17,13,15.39
St. Catharine's College,9,14,10,11,18,12,11,7,1,3,5,11,5,9,11,10,9,21,13,17,19,10,9,10.65
St. Edmund's College,,,,,,,29,29,28,28,28,29,28,28,28,28,29,28,28,28,22,21,28,27.47
St. John's College,10,8,12,4,4,11,13,14,12,15,19,20,14,20,15,14,13,16,10,5,3,8,15,11.96
Trinity College,1,1,2,2,3,6,8,3,3,5,6,3,1,2,1,1,1,1,1,1,1,3,2,2.52
Trinity Hall,6,7,18,17,15,17,19,12,17,16,16,15,9,4,3,8,3,3,8,13,15,12,10,11.43
Wolfson College,,,,,,,28,28,23,27,27,27,27,24,25,25,25,25,26,20,27,29,27,25.88
